Question,Answer,Lemmatized
,Sorry I do not understand,
do I feed the fish?,Never feed the fish (sometimes feed the fish),
do you pay the 1?,nah,
what formats are there?,"The popular formats are standard, modern, draft and commander but there are many others",
what is a format,"The popular formats are standard, modern, draft and commander but there are many others",
what are the formats format,"The popular formats are standard, modern, draft and commander but there are many others",
what is standard?,"Standard is the face constructed format for Magic the Gathering. It features a a block of sets that are legal, these blocks will ""rotate"" out each year changing the format constantly. The legal sets always consist of the latest set releases so new players can get into it.",
how do I play standard?,"Standard is the face constructed format for Magic the Gathering. It features a a block of sets that are legal, these blocks will ""rotate"" out each year changing the format constantly. The legal sets always consist of the latest set releases so new players can get into it.",
what is modern?,"Modern is a constructed format that all standard sets from Eighth Edition onwards are legal, along with supplimentry modern specific sets.",
how do I play modern?,"Modern is a constructed format that all standard sets from Eighth Edition onwards are legal, along with supplimentry modern specific sets.",
what is draft?,"Draft is a limited format in which you create a 40 card deck through opening packs with other players.Each player opens a pack and you take a single card at a time from a pack and pass it around until all the cards from each pack have been taken, you repeat this process at least 3 times and then create your deck.",
how do I play draft?,"Draft is a limited format in which you create a 40 card deck through opening packs with other players.Each player opens a pack and you take a single card at a time from a pack and pass it around until all the cards from each pack have been taken, you repeat this process at least 3 times and then create your deck.",
What is commander?,"Commander is a casual constructed format in which you have a 100 card singleton deck to play with. The deck has a card in its own zone called ""the command zone"" which is a legendary creature that represents your deck. You deck must be made up of entirely unique cards except for basic lands, hence the name singleton. The format is flexible but is usually played with 4 people at once.",
how do I commander?,"Commander is a casual constructed format in which you have a 100 card singleton deck to play with. The deck has a card in its own zone called ""the command zone"" which is a legendary creature that represents your deck. You deck must be made up of entirely unique cards except for basic lands, hence the name singleton. The format is flexible but is usually played with 4 people at once.",
Should I crack a pack?,"No you should buy singles, are you still going to crack a pack? Of course you are.",
Do you pay for Rhystic?,….No…,
Do I play temple of the false god?,Only if your playing mono colour really,
What are Planeswalkers?,Dudes who travel different worlds and stop me from drawing cards.,
Who is Holly?,Holly is the most amazing person in the world,
Is magic fun?,Magic has literally taken over my life… its fun,
do you enjoy magic,Magic has literally taken over my life… its fun,
what do you do with your spare time,Magic has literally taken over my life… its fun,
how old do you have to be to play magic?,They say ages 12+ officially but theres even professional players under the age of 10,
what are you?,"I am the Fish Feeder bot created by Nathan Balfour, I generally talk about all things related to Magic the Gathering but I enjoy talking about other things too",
why were you created?,I was created as part of Nottingham Trent University's Artificial Intelligence Module (2020/21),
what is a card game?,"card games, speaking generally, are games that you play using little cardboard rectangles to represent actions occuring in the game",
how are you?,Im ok,
can you tell me some lore about magic?,"I can try, say ""Tell me some lore"" and ill give you some random lore",
how many lands should I play in my deck?,"The amount of lands you play can vary a lot based on deck type and format. Play around and figure out what works for you, wanna play 60 lands? Have fun :)",
